FULL_ADDRESS,STREET,CITY,ZIP,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"3501 ORDWAY ST NW, WASHINGTON DC, 20016","3501 ORDWAY ST NW"," WASHINGTON DC"," 20016",38.936505,-77.068964,1,rooftop,"3501 Ordway St NW",,"Washington, DC 20016",3501,"Ordway St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"3804 ALBEMARLE ST NW, WASHINGTON DC, 20016","3804 ALBEMARLE ST NW"," WASHINGTON DC"," 20016",38.947683,-77.07521,1,rooftop,"3804 Albemarle St NW",,"Washington, DC 20016",3804,"Albemarle St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"1312 Q ST NW, WASHINGTON DC, 20009","1312 Q ST NW"," WASHINGTON DC"," 20009",38.910928,-77.030315,1,rooftop,"1312 Q St NW",,"Washington, DC 20009",1312,"Q St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
"5221 KANSAS AVE NW, WASHINGTON DC, 20011","5221 KANSAS AVE NW"," WASHINGTON DC"," 20011",38.953851,-77.016726,1,rooftop,"5221 Kansas Ave NW",,"Washington, DC 20011",5221,"Kansas Ave NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"5236 SHERIER PL NW, WASHINGTON DC","5236 SHERIER PL NW"," WASHINGTON DC",,38.926785,-77.105205,1,rooftop,"5236 Sherier Pl NW",,"Washington, DC 20016",5236,"Sherier Pl NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"1704 KENYON ST NW, WASHINGTON DC, 20010","1704 KENYON ST NW"," WASHINGTON DC"," 20010",38.92951,-77.039219,1,rooftop,"1704 Kenyon St NW",,"Washington, DC 20010",1704,"Kenyon St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1639 HOBART ST NW, WASHINGTON DC, 20009","1639 HOBART ST NW"," WASHINGTON DC"," 20009",38.928099,-77.038704,1,rooftop,"1639 Hobart St NW",,"Washington, DC 20009",1639,"Hobart St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
"36 FLORIDA AVE NW, WASHINGTON DC, 20001","36 FLORIDA AVE NW"," WASHINGTON DC"," 20001",38.911484,-77.011103,1,rooftop,"36 Florida Ave NW",,"Washington, DC 20001",36,"Florida Ave NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"1831 KILBOURNE PL NW, WASHINGTON DC, 20010","1831 KILBOURNE PL NW"," WASHINGTON DC"," 20010",38.930811,-77.042665,1,rooftop,"1831 Kilbourne Pl NW",,"Washington, DC 20010",1831,"Kilbourne Pl NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1835 KILBOURNE PL NW, WASHINGTON DC, 20010","1835 KILBOURNE PL NW"," WASHINGTON DC"," 20010",38.930806,-77.042804,1,rooftop,"1835 Kilbourne Pl NW",,"Washington, DC 20010",1835,"Kilbourne Pl NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1631 NEWTON ST NW, WASHINGTON DC, 20010","1631 NEWTON ST NW"," WASHINGTON DC"," 20010",38.933952,-77.037576,1,rooftop,"1631 Newton St NW",,"Washington, DC 20010",1631,"Newton St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1348 NEWTON ST NE, WASHINGTON DC, 20017","1348 NEWTON ST NE"," WASHINGTON DC"," 20017",38.933949,-76.987231,1,rooftop,"1348 Newton St NE",,"Washington, DC 20017",1348,"Newton St NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
"732 9TH ST SE, WASHINGTON DC","732 9TH ST SE"," WASHINGTON DC",,38.880315,-76.993535,1,rooftop,"732 9th St SE",,"Washington, DC 20003",732,"9th St SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
"1712 IRVING ST NW, WASHINGTON DC, 20010","1712 IRVING ST NW"," WASHINGTON DC"," 20010",38.92861,-77.03968,1,rooftop,"1712 Irving St NW",,"Washington, DC 20010",1712,"Irving St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"4573 INDIAN ROCK TER NW, WASHINGTON DC, 20007","4573 INDIAN ROCK TER NW"," WASHINGTON DC"," 20007",38.911143,-77.087746,1,rooftop,"4573 Indian Rock Ter NW",,"Washington, DC 20007",4573,"Indian Rock Ter NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
"5827 POTOMAC AVE NW, WASHINGTON DC, 20016","5827 POTOMAC AVE NW"," WASHINGTON DC"," 20016",38.934592,-77.113278,1,rooftop,"5827 Potomac Ave NW",,"Washington, DC 20016",5827,"Potomac Ave NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"5115 CATHEDRAL AVE NW, WASHINGTON DC, 20016","5115 CATHEDRAL AVE NW"," WASHINGTON DC"," 20016",38.93057,-77.103815,1,rooftop,"5115 Cathedral Ave NW",,"Washington, DC 20016",5115,"Cathedral Ave NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"1818 INGLESIDE TER NW, WASHINGTON DC, 20010","1818 INGLESIDE TER NW"," WASHINGTON DC"," 20010",38.934781,-77.04205,1,rooftop,"1818 Ingleside Ter NW",,"Washington, DC 20010",1818,"Ingleside Ter NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"3207 19TH ST NW, WASHINGTON DC, 20010","3207 19TH ST NW"," WASHINGTON DC"," 20010",38.931781,-77.043941,1,rooftop,"3207 19th St NW",,"Washington, DC 20010",3207,"19th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1751 KILBOURNE PL NW, WASHINGTON DC, 20010","1751 KILBOURNE PL NW"," WASHINGTON DC"," 20010",38.930802,-77.04069,1,rooftop,"1751 Kilbourne Pl NW",,"Washington, DC 20010",1751,"Kilbourne Pl NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1804 IRVING ST NW, WASHINGTON DC, 20010","1804 IRVING ST NW"," WASHINGTON DC"," 20010",38.928611,-77.041288,1,rooftop,"1804 Irving St NW",,"Washington, DC 20010",1804,"Irving St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"3001 WISCONSIN AVE NW, WASHINGTON DC, 20016","3001 WISCONSIN AVE NW"," WASHINGTON DC"," 20016",38.929172,-77.072744,1,rooftop,"3001 Wisconsin Ave NW",,"Washington, DC 20016",3001,"Wisconsin Ave NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"6810 LAUREL ST NW, WASHINGTON DC, 20012","6810 LAUREL ST NW"," WASHINGTON DC"," 20012",38.972032,-77.0148,1,rooftop,"6810 Laurel St NW",,"Washington, DC 20012",6810,"Laurel St NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"1716 NEWTON ST NW, WASHINGTON DC, 20010","1716 NEWTON ST NW"," WASHINGTON DC"," 20010",38.934033,-77.040431,1,rooftop,"1716 Newton St NW",,"Washington, DC 20010",1716,"Newton St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1421 LOCUST RD NW, WASHINGTON DC, 20012","1421 LOCUST RD NW"," WASHINGTON DC"," 20012",38.986207,-77.034164,1,rooftop,"1421 Locust Rd NW",,"Washington, DC 20012",1421,"Locust Rd NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"3202 18TH ST NW, WASHINGTON DC, 20010","3202 18TH ST NW"," WASHINGTON DC"," 20010",38.931718,-77.04154,1,rooftop,"3202 18th St NW",,"Washington, DC 20010",3202,"18th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"3340 17TH ST NW, WASHINGTON DC, 20010","3340 17TH ST NW"," WASHINGTON DC"," 20010",38.933825,-77.039038,1,rooftop,"3340 17th St NW",,"Washington, DC 20010",3340,"17th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"3336 17TH ST NW, WASHINGTON DC, 20010","3336 17TH ST NW"," WASHINGTON DC"," 20010",38.933714,-77.039031,1,rooftop,"3336 17th St NW",,"Washington, DC 20010",3336,"17th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"3326 17TH ST NW, WASHINGTON DC, 20010","3326 17TH ST NW"," WASHINGTON DC"," 20010",38.933439,-77.039033,1,rooftop,"3326 17th St NW",,"Washington, DC 20010",3326,"17th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1704 LAMONT ST NW, WASHINGTON DC, 20010","1704 LAMONT ST NW"," WASHINGTON DC"," 20010",38.931281,-77.039223,1,rooftop,"1704 Lamont St NW",,"Washington, DC 20010",1704,"Lamont St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"400 1ST ST NW, WASHINGTON DC, 20001","400 1ST ST NW"," WASHINGTON DC"," 20001",38.895025,-77.012596,1,rooftop,"400 1st St NW",,"Washington, DC 20534",400,"1st St NW",,,Washington,DC,"District of Columbia",20534,US,"Statewide (City of Washington)"
"3221 WALBRIDGE PL NW, WASHINGTON DC, 20010","3221 WALBRIDGE PL NW"," WASHINGTON DC"," 20010",38.932188,-77.045176,1,rooftop,"3221 Walbridge Pl NW",,"Washington, DC 20010",3221,"Walbridge Pl NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"3205 ADAMS MILL RD NW, WASHINGTON DC, 20010","3205 ADAMS MILL RD NW"," WASHINGTON DC"," 20010",38.931778,-77.045683,1,rooftop,"3205 Adams Mill Rd NW",,"Washington, DC 20010",3205,"Adams Mill Rd NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"4829 BENDING LN NW, WASHINGTON DC, 20007","4829 BENDING LN NW"," WASHINGTON DC"," 20007",38.91619,-77.097869,1,rooftop,"4829 Bending Ln NW",,"Washington, DC 20007",4829,"Bending Ln NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
"938 4TH ST NE, WASHINGTON DC, 20002","938 4TH ST NE"," WASHINGTON DC"," 20002",38.902099,-77.000772,1,rooftop,"938 4th St NE",,"Washington, DC 20002",938,"4th St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1914 13TH ST NW, WASHINGTON DC, 20009","1914 13TH ST NW"," WASHINGTON DC"," 20009",38.916192,-77.029891,1,rooftop,"1914 13th St NW",,"Washington, DC 20009",1914,"13th St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
"5204 SHERIER PL NW, WASHINGTON DC, 20016","5204 SHERIER PL NW"," WASHINGTON DC"," 20016",38.925841,-77.104213,1,rooftop,"5204 Sherier Pl NW",,"Washington, DC 20016",5204,"Sherier Pl NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"3112 19TH ST NW, WASHINGTON DC, 20010","3112 19TH ST NW"," WASHINGTON DC"," 20010",38.930374,-77.043555,1,rooftop,"3112 19th St NW",,"Washington, DC 20010",3112,"19th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1847 LAMONT ST NW, WASHINGTON DC, 20010","1847 LAMONT ST NW"," WASHINGTON DC"," 20010",38.931691,-77.043193,1,rooftop,"1847 Lamont St NW",,"Washington, DC 20010",1847,"Lamont St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"3213 19TH ST NW, WASHINGTON DC, 20010","3213 19TH ST NW"," WASHINGTON DC"," 20010",38.931945,-77.043939,1,rooftop,"3213 19th St NW",,"Washington, DC 20010",3213,"19th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"513 6TH ST NE, WASHINGTON DC, 20002","513 6TH ST NE"," WASHINGTON DC"," 20002",38.896805,-76.998208,1,rooftop,"513 6th St NE",,"Washington, DC 20002",513,"6th St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1507 CORCORAN ST NW, WASHINGTON DC, 20009","1507 CORCORAN ST NW"," WASHINGTON DC"," 20009",38.91206,-77.035025,1,rooftop,"1507 Corcoran St NW",,"Washington, DC 20009",1507,"Corcoran St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
"6815 6TH ST NW, WASHINGTON DC, 20012","6815 6TH ST NW"," WASHINGTON DC"," 20012",38.973126,-77.021149,1,rooftop,"6815 6th St NW",,"Washington, DC 20012",6815,"6th St NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
"3301 GARFIELD ST NW, WASHINGTON DC, 20008","3301 GARFIELD ST NW"," WASHINGTON DC"," 20008",38.927768,-77.06548,1,rooftop,"3301 Garfield St NW",,"Washington, DC 20008",3301,"Garfield St NW",,,Washington,DC,"District of Columbia",20008,US,"Statewide (City of Washington)"
"1331 INDEPENDENCE CT SE, WASHINGTON DC, 20003","1331 INDEPENDENCE CT SE"," WASHINGTON DC"," 20003",38.886944,-76.986892,1,rooftop,"1331 Independence Ct SE",,"Washington, DC 20003",1331,"Independence Ct SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
"3640 BRANDYWINE ST NW, WASHINGTON DC, 20008","3640 BRANDYWINE ST NW"," WASHINGTON DC"," 20008",38.9495,-77.071627,1,rooftop,"3640 Brandywine St NW",,"Washington, DC 20008",3640,"Brandywine St NW",,,Washington,DC,"District of Columbia",20008,US,"Statewide (City of Washington)"
"1366 SPRING RD NW, WASHINGTON DC, 20010","1366 SPRING RD NW"," WASHINGTON DC"," 20010",38.936663,-77.032018,1,rooftop,"1366 Spring Rd NW",,"Washington, DC 20010",1366,"Spring Rd NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1710 JOHNSON AVE NW, WASHINGTON DC, 20009","1710 JOHNSON AVE NW"," WASHINGTON DC"," 20009",38.913013,-77.033411,1,rooftop,"1710 Johnson Ave NW",,"Washington, DC 20009",1710,"Johnson Ave NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
"3341 17TH ST NW, WASHINGTON DC, 20010","3341 17TH ST NW"," WASHINGTON DC"," 20010",38.933726,-77.038611,1,rooftop,"3341 17th St NW",,"Washington, DC 20010",3341,"17th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1739 IRVING ST NW, WASHINGTON DC, 20010","1739 IRVING ST NW"," WASHINGTON DC"," 20010",38.929067,-77.040721,1,rooftop,"1739 Irving St NW",,"Washington, DC 20010",1739,"Irving St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"3908 BENTON ST NW, WASHINGTON DC, 20007","3908 BENTON ST NW"," WASHINGTON DC"," 20007",38.920506,-77.077545,1,rooftop,"3908 Benton St NW",,"Washington, DC 20007",3908,"Benton St NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
"3800 FORDHAM RD NW, WASHINGTON DC, 20016","3800 FORDHAM RD NW"," WASHINGTON DC"," 20016",38.939351,-77.099568,1,rooftop,"3800 Fordham Rd NW",,"Washington, DC 20016",3800,"Fordham Rd NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"329 MARYLAND AVE NE, WASHINGTON DC, 20002","329 MARYLAND AVE NE"," WASHINGTON DC"," 20002",38.892661,-77.001024,1,rooftop,"329 Maryland Ave NE",,"Washington, DC 20002",329,"Maryland Ave NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"1700 KENYON ST NW, WASHINGTON DC, 20010","1700 KENYON ST NW"," WASHINGTON DC"," 20010",38.92951,-77.039056,1,rooftop,"1700 Kenyon St NW",,"Washington, DC 20010",1700,"Kenyon St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"3131 ADAMS MILL RD NW, WASHINGTON DC, 20010","3131 ADAMS MILL RD NW"," WASHINGTON DC"," 20010",38.930551,-77.044486,1,rooftop,"3131 Adams Mill Rd NW",,"Washington, DC 20010",3131,"Adams Mill Rd NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"3114 19TH ST NW, WASHINGTON DC, 20010","3114 19TH ST NW"," WASHINGTON DC"," 20010",38.930417,-77.043597,1,rooftop,"3114 19th St NW",,"Washington, DC 20010",3114,"19th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"2427 MARTIN LUTHER KING JR AVE SE, WASHINGTON DC, 20020","2427 MARTIN LUTHER KING JR AVE SE"," WASHINGTON DC"," 20020",38.862285,-76.993688,1,rooftop,"2427 Martin Luther King Jr Ave SE",,"Washington, DC 20020",2427,"Martin Luther King Jr Ave SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
"1836 LAMONT ST NW, WASHINGTON DC, 20010","1836 LAMONT ST NW"," WASHINGTON DC"," 20010",38.931247,-77.043037,1,rooftop,"1836 Lamont St NW",,"Washington, DC 20010",1836,"Lamont St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"3650 ELY PL SE, WASHINGTON DC","3650 ELY PL SE"," WASHINGTON DC",,38.884001,-76.95307,1,rooftop,"3650 Ely Pl SE",,"Washington, DC 20019",3650,"Ely Pl SE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"1750 KENYON ST NW, WASHINGTON DC, 20010","1750 KENYON ST NW"," WASHINGTON DC"," 20010",38.929497,-77.040662,1,rooftop,"1750 Kenyon St NW",,"Washington, DC 20010",1750,"Kenyon St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"2228 HALL PL NW, WASHINGTON DC, 20007","2228 HALL PL NW"," WASHINGTON DC"," 20007",38.919499,-77.072306,1,rooftop,"2228 Hall Pl NW",,"Washington, DC 20007",2228,"Hall Pl NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
"704 26TH ST NE 20002","704 26TH ST NE 20002",,,38.902154,-76.972108,1,rooftop,"704 26th St NE",,"Washington, DC 20002",704,"26th St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"6207 4TH ST NW, WASHINGTON DC, 20011","6207 4TH ST NW"," WASHINGTON DC"," 20011",38.965135,-77.017774,1,rooftop,"6207 4th St NW",,"Washington, DC 20011",6207,"4th St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"110 10TH ST SE, WASHINGTON DC, 20003","110 10TH ST SE"," WASHINGTON DC"," 20003",38.888407,-76.992433,1,rooftop,"110 10th St SE",,"Washington, DC 20003",110,"10th St SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
"620 MICHIGAN AVE NE, WASHINGTON DC, 20064","620 MICHIGAN AVE NE"," WASHINGTON DC"," 20064",38.93283,-76.997864,1,rooftop,"620 Michigan Ave NE",,"Washington, DC 20064",620,"Michigan Ave NE",,,Washington,DC,"District of Columbia",20064,US,"Statewide (City of Washington)"
"620 MICHIGAN AVE NE, WASHINGTON DC, 20064","620 MICHIGAN AVE NE"," WASHINGTON DC"," 20064",38.93283,-76.997864,1,rooftop,"620 Michigan Ave NE",,"Washington, DC 20064",620,"Michigan Ave NE",,,Washington,DC,"District of Columbia",20064,US,"Statewide (City of Washington)"
"620 MICHIGAN AVE NE, WASHINGTON DC, 20064","620 MICHIGAN AVE NE"," WASHINGTON DC"," 20064",38.93283,-76.997864,1,rooftop,"620 Michigan Ave NE",,"Washington, DC 20064",620,"Michigan Ave NE",,,Washington,DC,"District of Columbia",20064,US,"Statewide (City of Washington)"
"620 MICHIGAN AVE NE, WASHINGTON DC, 20064","620 MICHIGAN AVE NE"," WASHINGTON DC"," 20064",38.93283,-76.997864,1,rooftop,"620 Michigan Ave NE",,"Washington, DC 20064",620,"Michigan Ave NE",,,Washington,DC,"District of Columbia",20064,US,"Statewide (City of Washington)"
"3369 RUNNYMEDE PL NW, WASHINGTON DC, 20015","3369 RUNNYMEDE PL NW"," WASHINGTON DC"," 20015",38.970735,-77.070099,1,rooftop,"3369 Runnymede Pl NW",,"Washington, DC 20015",3369,"Runnymede Pl NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
"231 17TH ST SE, WASHINGTON DC, 20003","231 17TH ST SE"," WASHINGTON DC"," 20003",38.8869,-76.981023,1,rooftop,"231 17th St SE",,"Washington, DC 20003",231,"17th St SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
"1417 5TH ST NW, WASHINGTON DC, 20001","1417 5TH ST NW"," WASHINGTON DC"," 20001",38.909192,-77.018666,1,rooftop,"1417 5th St NW",,"Washington, DC 20001",1417,"5th St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"1708 LAMONT ST NW, WASHINGTON DC, 20010","1708 LAMONT ST NW"," WASHINGTON DC"," 20010",38.931246,-77.039462,1,rooftop,"1708 Lamont St NW",,"Washington, DC 20010",1708,"Lamont St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"207 S ST NW, WASHINGTON DC, 20001","207 S ST NW"," WASHINGTON DC"," 20001",38.914237,-77.014656,1,rooftop,"207 S St NW",,"Washington, DC 20001",207,"S St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"2940 NORTHAMPTON ST NW, WASHINGTON DC, 20015","2940 NORTHAMPTON ST NW"," WASHINGTON DC"," 20015",38.965632,-77.060232,1,rooftop,"2940 Northampton St NW",,"Washington, DC 20015",2940,"Northampton St NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
"2918 26TH ST NE, WASHINGTON DC, 20018","2918 26TH ST NE"," WASHINGTON DC"," 20018",38.927288,-76.970453,1,rooftop,"2918 26th St NE",,"Washington, DC 20018",2918,"26th St NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"3008 16TH ST NE, WASHINGTON DC, 20018","3008 16TH ST NE"," WASHINGTON DC"," 20018",38.92837,-76.982611,1,rooftop,"3008 16th St NE",,"Washington, DC 20018",3008,"16th St NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
"1535 9TH ST NW, WASHINGTON DC, 20001","1535 9TH ST NW"," WASHINGTON DC"," 20001",38.910535,-77.02372,1,rooftop,"1535 9th St NW",,"Washington, DC 20001",1535,"9th St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"4529 DOUGLAS ST NE, WASHINGTON DC, 20019","4529 DOUGLAS ST NE"," WASHINGTON DC"," 20019",38.909784,-76.937444,1,rooftop,"4529 Douglas St NE",,"Washington, DC 20019",4529,"Douglas St NE",,,Washington,DC,"District of Columbia",20019,US,"Statewide (City of Washington)"
"2832 28TH ST NW, WASHINGTON DC, 20008","2832 28TH ST NW"," WASHINGTON DC"," 20008",38.927277,-77.056709,1,rooftop,"2832 28th St NW",,"Washington, DC 20008",2832,"28th St NW",,,Washington,DC,"District of Columbia",20008,US,"Statewide (City of Washington)"
"1701 VARNUM ST NW, WASHINGTON DC, 20011","1701 VARNUM ST NW"," WASHINGTON DC"," 20011",38.943142,-77.039147,1,rooftop,"1701 Varnum St NW",,"Washington, DC 20011",1701,"Varnum St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
"2925 LEGATION ST NW, WASHINGTON DC, 20015","2925 LEGATION ST NW"," WASHINGTON DC"," 20015",38.964143,-77.059985,1,rooftop,"2925 Legation St NW",,"Washington, DC 20015",2925,"Legation St NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
"5736 SHERIER PL NW, WASHINGTON DC, 20016","5736 SHERIER PL NW"," WASHINGTON DC"," 20016",38.932898,-77.111386,1,rooftop,"5736 Sherier Pl NW",,"Washington, DC 20016",5736,"Sherier Pl NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
