"year","ISSUE_DATE","PERMIT_SUBTYPE_NAME","DESC_OF_WORK","FULL_ADDRESS","street","zip"
2009,"2009/11/19 05:00:00+00","ALTERATION AND REPAIR","THIS PROJECT ENTAILS THE INSTALLATION OF A 45,760 WATTS 9W) STC RATED SOLAR PHOTOVOLTAIC SYSTEM AT THE UNICOR, FEDERAL PRISONS INDUSTIRIES HEADQUARTERS IN D.C. THE SYSTEM WILL NOT BE A NET ELECTRICITY EXPORTER TO THE UTILITY GRID. THIS INSTALLATION CONSISTS OF FIXED TILT RACKING STRUCTURE WITH MOUNTED PHOTOVOLTIC MODULES. THE SYSTEM WILL BE SECURED WITH BALLASTS TO PREVENT THEM  FROM SHIFTING IN THE WIND. THE SYSTEM WILL BE  INTERCONNECTED TO AND WILL BE OPERATED IN PARALLEL WITH THE POTOMAC ELECTRIC POWER COMPANY (PEPCO0 ELECTRIC GRID PER THE REQUIREMENTS OF THE NATIONAL ELECTRIC CODE.","400 1ST ST NW, WASHINGTON, DC 20001","400 1ST ST NW","20001"
2009,"2009/11/17 05:00:00+00","ALTERATION AND REPAIR","INSTALL (12) SOLAR PANELS ON ROOF NOT VISIBLE FROM STREET.","3221 WALBRIDGE PL NW, WASHINGTON, DC 20010","3221 WALBRIDGE PL NW","20010"
2009,"2009/12/02 05:00:00+00","ALTERATION AND REPAIR","INSTALL (18) SOLAR PANELS ON ROOF.","3205 ADAMS MILL RD NW, WASHINGTON, DC 20010","3205 ADAMS MILL RD NW","20010"
2009,"2009/11/20 05:00:00+00","ALTERATION AND REPAIR","Install 24 Suntech 210 watt Solar Panels on the Becker's roof.","4829 BENDING LN NW, WASHINGTON, DC 20007","4829 BENDING LN NW","20007"
2009,"2009/11/20 05:00:00+00","ALTERATION AND REPAIR","Installing 22 Suntech 175 watt Solar Panels on the Chang's roof.","938 4TH ST NE, WASHINGTON, DC 20002","938 4TH ST NE","20002"
2009,"2009/12/04 05:00:00+00","ALTERATION AND REPAIR","INSTALL (18) SOLAR PANELS ON ROOF.","1914 13TH ST NW, WASHINGTON, DC 20009","1914 13TH ST NW","20009"
2009,"2009/11/18 05:00:00+00","ALTERATION AND REPAIR","Install 10 solar panels flush on roof of the existing SFD .","5204 SHERIER PL NW, WASHINGTON, DC 20016","5204 SHERIER PL NW","20016"
2009,"2009/11/18 05:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF. SETBACK 25 FT FROM FRONT ROOF RIDGE OF THE EXISTING  SFD.","3112 19TH ST NW, WASHINGTON, DC 20010","3112 19TH ST NW","20010"
2009,"2009/10/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF. SHALL NOT BE VISIBLE FROM LAMONT ST NW.","1847 LAMONT ST NW, WASHINGTON, DC 20010","1847 LAMONT ST NW","20010"
2009,"2009/11/17 05:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF. SHALL NOT BE VISIBLE FROM 19TH STREET NW.","3213 19TH ST NW, WASHINGTON, DC 20010","3213 19TH ST NW","20010"
2009,"2009/11/05 05:00:00+00","ALTERATION AND REPAIR","INSTALL 15 SANYO 195BA3 PHOTOVOLTAIC PANELS ON THE ROOF, NOMINAL 2.925 KW PV POWER SYSTEM.  Panels not to be visible.","513 6TH ST NE, WASHINGTON, DC 20002","513 6TH ST NE","20002"
2009,"2009/11/05 05:00:00+00","ALTERATION AND REPAIR","INSTALL 15 SANYO 195BA3 PHOTOVOLTAIC PANELS ON THE ROOF, NOMINAL 2.925 KW PV POWER SYSTEM.  Panels not to be visible","1507 CORCORAN ST NW, WASHINGTON, DC 20009","1507 CORCORAN ST NW","20009"
2009,"2009/06/19 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF. NOT TO BE VISIBLE FROM THE STREET.","6815 6TH ST NW, WASHINGTON, DC 20012","6815 6TH ST NW","20012"
2009,"2009/06/19 04:00:00+00","ALTERATION AND REPAIR","INSTALL 4.05 KW ROOF TOP SOLAR PV SYSTEM COSISTING OF 18 SPR 225 SOLAR MODULES, 1 SPR 4000 INVERTER AND MONITOR.","3301 GARFIELD ST NW, WASHINGTON, DC 20008","3301 GARFIELD ST NW","20008"
2009,"2009/06/03 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF.","1331 INDEPENDENCE CT SE, WASHINGTON, DC 20003","1331 INDEPENDENCE CT SE","20003"
2009,"2009/06/03 04:00:00+00","ALTERATION AND REPAIR","INSTALL 4.05 KW SOLAR SYSTEM ON ROOF CONSITING OF: 
18 SPR 225 BLK SOLAR MODULES, 1 SPR 4000 INVERTER & INVERTER MONITOR","3640 BRANDYWINE ST NW, WASHINGTON, DC 20008","3640 BRANDYWINE ST NW","20008"
2009,"2009/06/22 04:00:00+00","ALTERATION AND REPAIR","INDSTALL SOLAR PV SYSTEM ON ROOF AND CONNECT TO HOUSE","1366 SPRING RD NW, WASHINGTON, DC 20010","1366 SPRING RD NW","20010"
2009,"2009/12/16 05:00:00+00","ALTERATION AND REPAIR","INSTALL (14) SOLAR PANELS ON ROOF OF THE EXISTING SFD.","1710 JOHNSON AVE NW, WASHINGTON, DC 20009","1710 JOHNSON AVE NW","20009"
2009,"2009/07/17 04:00:00+00","ALTERATION AND REPAIR","INSTALL 2.25 KW ROOFTOP SOLAR SYSTEM CONSISTING OF 10 SPR 225  MODULES, 1SPR 4000 INVERTER AND MONITOR.","3908 BENTON ST NW, WASHINGTON, DC 20007","3908 BENTON ST NW","20007"
2009,"2009/07/17 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PHOTOVOLTAIC SYSTEM TO CONSIST OF  12 SUNPOWE 225 MODULES. 1 SUNPOWER SPR SPR 3000M, 1 SUNPOWER SOLOR INVERTER MONITOR.","3800 FORDHAM RD NW, WASHINGTON, DC 20016","3800 FORDHAM RD NW","20016"
2009,"2009/07/13 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PHOTVOLTAIC SYSTEM TO CONSIST OF 12- SUNTECH 175 WATT MODULES.1- SUNNY BOY 5000 US INVERTER. 1-SMA MONITORING SYSTEM","329 MARYLAND AVE NE, WASHINGTON, DC 20002","329 MARYLAND AVE NE","20002"
2009,"2009/03/24 04:00:00+00","ALTERATION AND REPAIR","INSTALLATION OF 2.8 KW SOLAR PANEL SYSTEM, TWO ROWS OF 8 PANELS (16), INVERTER & INVERTER MONITOR.","2427 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20020","2427 MARTIN LUTHER KING JR AVE SE","20020"
2009,"2009/02/17 05:00:00+00","ALTERATION AND REPAIR","INSTALL ROOF  MOUNTED PV SOLAR SYSTEM TO DC PUBLIC SCHOOL","3650 ELY PL SE, WASHINGTON, DC","3650 ELY PL SE",NA
2009,"2009/10/15 04:00:00+00","ALTERATION AND REPAIR","104 KW SOLAR ELECTRIC SYSTEM TO BE INSTALLED ON ROOF.","620 MICHIGAN AVE NE, WASHINGTON, DC 20064","620 MICHIGAN AVE NE","20064"
2009,"2009/10/15 04:00:00+00","ALTERATION AND REPAIR","35.6 SOLAR ELECTRIC SYSTEM TO BE INSTALLED ON ROOF.","620 MICHIGAN AVE NE, WASHINGTON, DC 20064","620 MICHIGAN AVE NE","20064"
2009,"2009/08/10 04:00:00+00","ALTERATION AND REPAIR","INSTALL 3.15 KW ROOF TOP SOLAR SYSTEM.","2918 26TH ST NE, WASHINGTON, DC 20018","2918 26TH ST NE","20018"
2009,"2009/12/03 05:00:00+00","ALTERATION AND REPAIR","INSTALL A FLUSH MOUNTED ROOF SOLAR PHOTOVOLTAIC SYSTEM CONSISTING OF 16 SUN POWER 225 WATTS MODULES 1 SUNPOWER SPR 4000W.

Panels not to be visible from 9th Street ROW.","1535 9TH ST NW, WASHINGTON, DC 20001","1535 9TH ST NW","20001"
2009,"2009/11/10 05:00:00+00","ALTERATION AND REPAIR","INSTALL (14) SOLAR PANELS FLUSH ON ROOF.","4529 DOUGLAS ST NE, WASHINGTON, DC 20019","4529 DOUGLAS ST NE","20019"
2009,"2009/11/17 05:00:00+00","ALTERATION AND REPAIR","INSTALLATION OF A 2.1 K W SOLAR PHOTOVOLTAIC CONSISTING OF 12 SUNTECH 175 WATT MODULES
12 ENPHASE MICRO INVERTERS.
1 LOCUS MONITORING SYSTEM.
SHALL NOT BE VISIBLE FROM STREET.","2832 28TH ST NW, WASHINGTON, DC 20008","2832 28TH ST NW","20008"
2009,"2009/11/17 05:00:00+00","ALTERATION AND REPAIR","INSTALLATION OF A 2.1 K W SOLAR PHOTOVOLTAIC CONSISTING OF 27 SUNTECH 175 WATT MODULES.  SMA SB 500M INVERTER. 1 LOCUS MONITORING SYSTEM.","1701 VARNUM ST NW, WASHINGTON, DC 20011","1701 VARNUM ST NW","20011"
2009,"2009/11/03 05:00:00+00","ALTERATION AND REPAIR","INSTALL A ROOFTOP PHOTOVOLTAIC 2.1 KW SOLAR SYSTEM.","5736 SHERIER PL NW, WASHINGTON, DC 20016","5736 SHERIER PL NW","20016"
2009,"2009/07/21 04:00:00+00","MISCELLANEOUS","INSTALL SOLAR PANELS ON ROOF.","1120 LAMONT ST NW, WASHINGTON, DC 20010","1120 LAMONT ST NW","20010"
2009,"2009/08/04 04:00:00+00","MISCELLANEOUS","INSTALL (16) SOLAR PANELS FLUSH ON ROOF, WILL NOT BE VISIBLE FROM STREET.","4644 RESERVOIR RD NW, WASHINGTON, DC 20007","4644 RESERVOIR RD NW","20007"
2009,"2009/09/16 04:00:00+00","MISCELLANEOUS","INSTALL SOLAR PANELS ON ROOF.","1811 INGLESIDE TER NW, WASHINGTON, DC 20010","1811 INGLESIDE TER NW","20010"
2009,"2009/12/17 05:00:00+00","MISCELLANEOUS","MOUNT 15 SANYO HIP190BA19 SOLAR PANELS TO THE ROOF 2.850 KW","3327 18TH ST NW, WASHINGTON, DC 20010","3327 18TH ST NW","20010"
2009,"2009/12/17 05:00:00+00","MISCELLANEOUS","MOUNT 15 SANYO HIP215BA19 SOLAR PANELS TO THE ROOF 3.225KW.","3612 NEW HAMPSHIRE AVE NW, WASHINGTON, DC 20010","3612 NEW HAMPSHIRE AVE NW","20010"
2009,"2009/07/07 04:00:00+00","MISCELLANEOUS","SOLAR MODULES/ ARRAY INSTALLATION.","3612 AUSTIN ST SE, WASHINGTON, DC 20020","3612 AUSTIN ST SE","20020"
2009,"2009/05/13 04:00:00+00","ELECTRICAL","1 SOLAR INVERTER.","1368 NEWTON ST NW, WASHINGTON, DC 20010","1368 NEWTON ST NW","20010"
2009,"2009/11/19 05:00:00+00","ELECTRICAL","THIS PROJECT ENTAILS THE INSTALLATION OF A 45,760 WATTS 9W) STC RATED SOLAR PHOTOVOLTAIC SYSTEM AT THE UNICOR, FEDERAL PRISONS INDUSTIRIES HEADQUARTERS IN D.C. THE SYSTEM WILL NOT BE A NET ELECTRICITY EXPORTER TO THE UTILITY GRID. THIS INSTALLATION CONSISTS OF FIXED TILT RACKING STRUCTURE WITH MOUNTED PHOTOVOLTIC MODULES. THE SYSTEM WILL BE SECURED WITH BALLASTS TO PREVENT THEM  FROM SHIFTING IN THE WIND. THE SYSTEM WILL BE  INTERCONNECTED TO AND WILL BE OPERATED IN PARALLEL WITH THE POTOMAC ELECTRIC POWER COMPANY (PEPCO0 ELECTRIC GRID PER THE REQUIREMENTS OF THE NATIONAL ELECTRIC CODE.","400 1ST ST NW, WASHINGTON, DC 20001","400 1ST ST NW","20001"
2009,"2009/09/22 04:00:00+00","ELECTRICAL","INSTALL SOLAR PHOTOVOLTAIC SYSTEM TO CONSIST OF: 18 SUNTECH 175 WATT MODULE, 18 ENPHASE MICRO-INVERTERS, 1 EMPHASE ENVOY COMMUNICATIONS GATEWAY MONITORING SYSTEM.","1345 S ST NW, WASHINGTON, DC 20009","1345 S ST NW","20009"
2009,"2009/12/11 05:00:00+00","ALTERATION AND REPAIR","INSTALLATION OF A 4.95 ROOF TOP SOLAR PHOTOVOLTAIC SOLAR SYSTEM CONSISTING OF:  22 SUNPOWER 225 WATTS MODULES  1 SUNPOWER SMA 500M INVERTER  1 WEB BASED MONITORING SYSTEM","1525 18TH ST NW, WASHINGTON, DC 20036","1525 18TH ST NW","20036"
2009,"2009/09/22 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF.","117 4TH ST NE, WASHINGTON, DC 20002","117 4TH ST NE","20002"
2009,"2009/05/12 04:00:00+00","ADDITION ALTERATION REPAIR","INSTALL : 24 STP 175 SOLAR MODULES, 1 SMA 4000 INVERTER AND INVERTER MONITOR.","2307 37TH ST NW, WASHINGTON, DC 20007","2307 37TH ST NW","20007"
2009,"2009/09/16 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","1713 IRVING ST NW, WASHINGTON, DC 20010","1713 IRVING ST NW","20010"
2010,"2010/09/22 04:00:00+00","ELECTRICAL","INSTALL ROOF MOUNTED PV SOLAR SYSTEM. NO PANELS, METERS, CONDUITS, ETC. SHALL BE VISIBLE FROM Q STREET NW RIGHT-OF-WAY. (SOLAR ARRAY SHAL HAVE 1 TO 1 SETBACK AND SHALL NOT BE GREATER THAN 4FT ABOVE THE ADJACENT ROOF OR PARAPET)","1743 Q ST NW, WASHINGTON, DC 20009","1743 Q ST NW","20009"
2010,"2010/08/20 04:00:00+00","ELECTRICAL","INSTALL ROOF MOUNTED PV SOLAR , 22 PANELS AND 1 INVERTER.","634 14TH ST NE, WASHINGTON, DC 20002","634 14TH ST NE","20002"
2010,"2010/03/17 04:00:00+00","ELECTRICAL","INSTALLATION OF A 5.25 KW SOLAR PHOTOVOLTAIC ROOF TOP OF THE EXISTING SFD WITH SYSTEM (30 175 WATT SUNTECH MODULES).","6224 30TH ST NW, WASHINGTON, DC 20015","6224 30TH ST NW","20015"
2010,"2010/02/25 05:00:00+00","ADDITION ALTERATION REPAIR","ADD SOLAR PHOTOVOLTAIC (PV) ELECTRIC GRID -TIED SYSTEM TO ROOF ON ENGINEERED RACK THAT ADDS NO LOAD TO EXISTING ROOF.","1607 G ST SE, WASHINGTON, DC 20003","1607 G ST SE","20003"
2010,"2010/11/23 05:00:00+00","ADDITION ALTERATION REPAIR","INSTALL ROOF MOUNTED PV SOLAR SYSTEM, 4.995KW, 5 PANELS.","1424 LONGFELLOW ST NW, WASHINGTON, DC 20011","1424 LONGFELLOW ST NW","20011"
2010,"2010/08/20 04:00:00+00","ALTERATION AND REPAIR","Install 18 solar electric panels on roof of existing SFH.","618 5TH ST NE, WASHINGTON, DC 20002","618 5TH ST NE","20002"
2010,"2010/08/10 04:00:00+00","ALTERATION AND REPAIR","INSTALL 28, 180 W SUNTECH SOLAR MODULES ON THE MAIN ROOF OF THE KOHL RESIDENCE AND 9 SOLAR (180W) PV MODULES ON THE DETACHED STUDIO STRUCTURED ROOF OF THE KOHN RESIDENCE FOR A TOTAL 6.66 KW W SYSTEM","4625 49TH ST NW, WASHINGTON, DC 20016","4625 49TH ST NW","20016"
2010,"2010/07/20 04:00:00+00","ALTERATION AND REPAIR","GRID-TIED SOLAR PV SYSTEM USING 29 SUNTECH 175 WATT PANELS + 29 ENPHASE MICRO-INVERTERS. TOP HEIGHT OF PANELS SHALL BE EQUAL TO OR LOWER THAN RIDGE OF FRONT MANSARD SO AS TO BE NOT VISIBLE FROM A ST NE RIGHT-OF-WAY.","1359 A ST NE, WASHINGTON, DC 20002","1359 A ST NE","20002"
2010,"2010/08/24 04:00:00+00","ALTERATION AND REPAIR","INSTALL (28) SOLAR PANELS FLESH ON ROOF OF EXISTING SFH. SHALL NOT BE VISIBLE FROM A ST NE RIGHT-OF-WAY.","813 A ST NE, WASHINGTON, DC 20002","813 A ST NE","20002"
2010,"2010/12/14 05:00:00+00","ALTERATION AND REPAIR","REPLACE LIKE IN KIND ROOFING 
INSTALL PHOTOVOLTAIC PANELS TO FLAT ROOF. MIMIMUM SETBACK FROM FRONT ROOFLINE SHALL BE 13 FEET. MAXIMUM HEIGHT OF FRONT PANEL ABOVE ROOF MEMBRANCE SHALL BE 1 FOOT.","1213 E ST SE, WASHINGTON, DC 20003","1213 E ST SE","20003"
2010,"2010/12/14 05:00:00+00","ALTERATION AND REPAIR","REPLACE LIKE IN KIND ROOFING 
INSTALL PHOTOVOLTAIC PANELS TO FLAT ROOF","1735 HARVARD ST NW, WASHINGTON, DC 20009","1735 HARVARD ST NW","20009"
2010,"2010/09/01 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM ON ROOF.
SYSTEM SHALL NOT BE VISIBLE FROM THE PUBLIC STREET. CONDUIT SHALL BE AT THE REAR OF THE PROPERTY.","1718 15TH ST NW, WASHINGTON, DC 20009","1718 15TH ST NW","20009"
2010,"2010/09/21 04:00:00+00","ALTERATION AND REPAIR","6.45 KW PHOTORORTAIC SOLAR ARRAM TO BE ROOF BALLASTED AND GRID-TIED IT WILL CONSIST OF (30) SANYO 215 WATT PANEL AND (30) ENPHASE M210 MICRO-INVERTERS","1231 C ST NE, WASHINGTON, DC 20002","1231 C ST NE","20002"
2010,"2010/09/14 04:00:00+00","ALTERATION AND REPAIR","5.04 KW PHOTOROLTAR SOLAR ARRAY 
(28) SUNNITECY PANELS
(28) MICRO-INVERTERS
ROOF-MOWTED, GRID-TIED, UTILITY-INTERACTIVE","3214 SHERMAN AVE NW, WASHINGTON, DC 20010","3214 SHERMAN AVE NW","20010"
2010,"2010/09/14 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOFTOP 
40 SUNTECH SOLAR PANELS WITH 40 ENPHASE MICROINVERTERS GRID TIED
UTILITY INTEACTIVE","1402 DELAFIELD PL NW, WASHINGTON, DC 20011","1402 DELAFIELD PL NW","20011"
2010,"2010/06/15 04:00:00+00","ALTERATION AND REPAIR","raise porch roof approximatley 12"" to connect to main roof of house to provide a contious  flat ever  surface to accomodate  pvl144 laminate solar panels","1504 MONROE ST NW, WASHINGTON, DC 20010","1504 MONROE ST NW","20010"
